Category,Family Name,Crop,Crop Type,Variety,Planting Method,Harvest Stage,GH Sow Date,Days to 1st potting up,1st Potting up date,Days to 2nd Potting up,2nd Potting up date,Days to 3rd Potting up,3rd Potting up date,Days In Greenhouse,Field Sowing Planting Date,DTM,Harvest Window,First Harvest,Last Harvest,Planting Amount,Location,In-Row Spacing,In-Row Spacing Unit,Rows Per Bed,# Of Flats,Flat/pot type,Seeds per cell,Estimated loss,Total Transplants,Total Seed Needed,Average seed weight,Average seed weight unit,Total Weight Needed,Total Weight Needed Unit,Extra Seed %,Seed spec,1st Potting up flat/pot type,1st Potting up plants per cell/pot,1st Potting up # of flats/pots,2nd Potting up flat/pot type,2nd Potting up plants per cell/pot,2nd Potting up # of flats/pots,3rd Potting up flat/pot type,3rd Potting up plants per cell/pot,3rd Potting up # of flats/pots,Harvest Unit,Avg Yield Rate,Avg. Sales Price,Est. Yield,Est. Revenue,Est. Rev./unit,Growing Cycle,Rootstock,Harvest Season,First Fruiting Year,Between row spacing,Notes,Seeder,Front gear,Rear gear,Roller plate
Flowers,Asteraceae,Cosmos,Cosmos,Rubenza,Greenhouse Sow,,04/30/2020,,,,,,,,05/28/2020,62,35,07/29/2020,09/02/2020,10 bed ft.,"White House,Situation,Block FLR,Beds 1",9.0,in,3,0.58,72 cell flats,1,5,42,42,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,60.000 st/pl,$8.00/bn,"2,400.0 Stems","$1,920.00",$64.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Cosmos,Cosmos,Apricot Lemonade,Greenhouse Sow,,04/30/2020,,,,,,,,05/28/2020,62,35,07/29/2020,09/02/2020,10 bed ft.,"White House,Situation,Block FLR,Beds 1",9.0,in,3,0.58,72 cell flats,1,5,42,42,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Bunches,60.000 st/pl,$8.00/bn,"2,400.0 Stems","$1,920.00",$64.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Cosmos,Cosmos,Double Click Mix,Greenhouse Sow,,04/30/2020,,,,,,,,05/28/2020,62,35,07/29/2020,09/02/2020,10 bed ft.,"White House,Situation,Block FLR,Beds 1",9.0,in,3,0.58,72 cell flats,1,5,42,42,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,60.000 st/pl,$8.00/bn,"2,400.0 Stems","$1,920.00",$64.00/plant,Annual,,,,,,,,,
Flowers,Boraginaceae,Craspedia (Drumstick Flower),Craspedia (Drumstick Flower),Sun Ball,Greenhouse Sow,,04/16/2020,,,,,,,,05/19/2020,110,42,09/06/2020,10/18/2020,30 plants,"White House,Situation,Block FLR,Beds 1",9.0,in,5,0.44,72 cell flats,1,5,31.5,32,28800,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,6.000 st/pl,$8.00/bn,180.0 Stems,$144.00,$6.40/plant,Annual,,,,,,,,,
Vegetables,Brassicaceae,Cress,Cress,Emerald Beads,Direct Sow,Full-Size,,,,,,,,,05/07/2020,90,14,08/05/2020,08/19/2020,10 bed ft.,"White House,Situation,Block GRN,Beds 2",9.0,in,5,0.0,,,,,67,15433,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,5.000 st/pl,$8.00/bn,333.3 Stems,$266.66,$5.33/plant,Annual,,,,,,,,,
Vegetables,Brassicaceae,Cress,Cress,Wrinkled Crinkled,Direct Sow,Full-Size,,,,,,,,,05/07/2020,60,14,07/06/2020,07/20/2020,10 bed ft.,"White House,Situation,Block GRN,Beds 2",9.0,in,5,0.0,,,,,67,15433,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,5.000 st/pl,$8.00/bn,333.3 Stems,$266.66,$5.33/plant,Annual,,,,,,,,,
Vegetables,Brassicaceae,Cress,Cress,Emerald Beads,Direct Sow,Full-Size,,,,,,,,,06/18/2020,90,14,09/16/2020,09/30/2020,10 bed ft.,"White House,Situation,Block GRN,Beds 2",9.0,in,5,0.0,,,,,67,15433,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,5.000 st/pl,$8.00/bn,333.3 Stems,$266.66,$5.33/plant,Annual,,,,,,,,,
Vegetables,Brassicaceae,Cress,Cress,Pennycress,Direct Sow,Full-Size,,,,,,,,,06/18/2020,60,14,08/17/2020,08/31/2020,10 bed ft.,"White House,Situation,Block GRN,Beds 2",9.0,in,5,0.0,,,,,67,15433,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,5.000 st/pl,$8.00/bn,333.3 Stems,$266.66,$5.33/plant,Annual,,,,,,,,,
Vegetables,Brassicaceae,Cress,Cress,Wrinkled Crinkled,Direct Sow,Full-Size,,,,,,,,,07/09/2020,60,14,09/07/2020,09/21/2020,10 bed ft.,"White House,Situation,Block GRN,Beds 2",9.0,in,5,0.0,,,,,67,15433,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,5.000 st/pl,$8.00/bn,333.3 Stems,$266.66,$5.33/plant,Annual,,,,,,,,,
Vegetables,Brassicaceae,Cress,Cress,Pennycress,Direct Sow,Full-Size,,,,,,,,,07/09/2020,60,14,09/07/2020,09/21/2020,10 bed ft.,"White House,Situation,Block GRN,Beds 2",9.0,in,5,0.0,,,,,67,15433,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,5.000 st/pl,$8.00/bn,333.3 Stems,$266.66,$5.33/plant,Annual,,,,,,,,,
